productId,typeCode,category,createdBy,createdAt,modifiedBy,modifiedAt,name,desc,partner_ID,quantity,quantityUnit,weightMeasure,weightUnit,currency_code,price,width,depth,height,dimensionUnit
HT-1000,PR,Notebooks,fisher.richard@itelo.info,2012-10-03,fisher.richard@itelo.info,2012-10-03,Notebook Basic 15,Notebook Basic 15 with 1.7GHz - 15 XGA - 1024MB DDR2 SDRAM - 40GB Hard Disc,02BD2137-0890-1EEA-A6C2-BB55C19BA7FB,1,EA,4.2,KG,EUR,956,0.3,0.18,0.03,M
HT-1001,PR,Notebooks,fisher.richard@itelo.info,2012-10-03,fisher.richard@itelo.info,2012-10-03,Notebook Basic 17,Notebook Basic 17 with 1.7GHz - 17 XGA - 1024MB DDR2 SDRAM - 40GB Hard Disc,02BD2137-0890-1EEA-A6C2-BB55C19BC7FB,1,EA,4.5,KG,EUR,1249,0.29,0.17,0.03,M
HT-1002,PR,Notebooks,fisher.richard@itelo.info,2012-10-03,fisher.richard@itelo.info,2012-10-03,Notebook Basic 18,Notebook Basic 18 with 1.7GHz - 18 LCD - 1024MB DDR2 SDRAM - 40GB Hard Disc,02BD2137-0890-1EEA-A6C2-BB55C19BE7FB,1,EA,4.2,KG,USD,1570,0.28,0.19,0.03,M
HT-1003,PR,Notebooks,fisher.richard@itelo.info,2012-10-03,fisher.richard@itelo.info,2012-10-03,Notebook Basic 19,Notebook Basic 19 with 1.7GHz - 19 LCD - 1024MB DDR2 SDRAM - 40GB Hard Disc,02BD2137-0890-1EEA-A6C2-BB55C19C07FB,1,EA,4.2,KG,EUR,1650,0.32,0.21,0.04,M
HT-1007,PR,Handhelds,fisher.richard@itelo.info,2012-10-03,fisher.richard@itelo.info,2012-10-03,1UMTS PDA,Ultra fast 3G UMTS/HSDPA Pocket PC. can be used with any GSM network in the world  - Bluetooth 2.0Â® wireless connectivity,02BD2137-0890-1EEA-A6C2-BB55C19C27FB,1,EA,0.2,KG,USD,499,0.32,0.22,0.03,M
HT-1010,PR,Notebooks,fisher.richard@itelo.info,2012-10-03,fisher.richard@itelo.info,2012-10-03,Notebook Professional 15,Notebook Professional 15 with 2.3GHz - 15 XGA - 2048MB DDR2 SDRAM - 40GB Hard Disc - DVD-Writer (DVD-R/+R/-RW/-RAM),02BD2137-0890-1EEA-A6C2-BB55C19C47FB,1,EA,4.3,KG,EUR,1999,0.33,0.2,0.03,M
HT-1011,PR,Notebooks,fisher.richard@itelo.info,2012-10-03,fisher.richard@itelo.info,2012-10-03,Notebook Professional 17,Notebook Professional 17 with 2.3GHz - 17 XGA - 2048MB DDR2 SDRAM - 40GB Hard Disc - DVD-Writer (DVD-R/+R/-RW/-RAM),02BD2137-0890-1EEA-A6C2-BB55C19C67FB,1,EA,4.1,KG,JPY,2299,0.33,0.23,0.02,M
HT-1020,PR,Handhelds,fisher.richard@itelo.info,2012-10-03,fisher.richard@itelo.info,2012-10-03,Easy Hand III,High resolution 320x320 transflective color screen - 16MB of memory - Infrared Port - Speaker - Stylus,02BD2137-0890-1EEA-A6C2-BB55C19C87FB,1,EA,0.16,KG,EUR,129,0.1,0.02,0.17,M
HT-1021,PR,Handhelds,fisher.richard@itelo.info,2012-10-03,fisher.richard@itelo.info,2012-10-03,Easy Hand V,High resolution 320x320 transflective color screen - 32MB of memory - Infrared Port - Speaker - Stylus,02BD2137-0890-1EEA-A6C2-BB55C19CA7FB,1,EA,0.18,KG,MXN,149,0.11,0.02,0.18,M
HT-1022,PR,Handhelds,fisher.richard@itelo.info,2012-10-03,fisher.richard@itelo.info,2012-10-03,Easy Hand VII,High resolution 320x480 transflective color screen - 16MB of memory - Infrared Port - Speaker - Stylus,02BD2137-0890-1EEA-A6C2-BB55C19CC7FB,1,EA,0.2,KG,ARS,205,0.84,0.02,0.14,M
HT-1023,PR,Handhelds,fisher.richard@itelo.info,2012-10-03,fisher.richard@itelo.info,2012-10-03,Easy Power,High resolution 320x480 transflective color screen - 32MB of memory - Infrared Port - Speaker - Stylus,02BD2137-0890-1EEA-A6C2-BB55C19CE7FB,1,EA,0.8,KG,USD,239,0.8,0.02,0.13,M
HT-1030,PR,Flat screens,fisher.richard@itelo.info,2012-10-03,fisher.richard@itelo.info,2012-10-03,Ergo Screen,17 Optimum Resolution 1024 x 768 @ 85Hz. Max resolution 1280 x 960 @ 75Hz. Dot Pitch: 0.27mm,02BD2137-0890-1EEA-A6C2-BB55C19D07FB,1,EA,18,KG,EUR,230,0.37,0.12,0.36,M
HT-1031,PR,Flat screens,fisher.richard@itelo.info,2012-10-03,fisher.richard@itelo.info,2012-10-03,Easy Pixel,19 Optimum Resolution 1280 x 960 @ 85Hz. Max resolution 1600 x 1200 @ 75Hz. Dot Pitch: 0.26mm,02BD2137-0890-1EEA-A6C2-BB55C19D27FB,1,EA,22,KG,GBP,285,0.41,0.19,0.43,M
HT-1032,PR,Flat screens,fisher.richard@itelo.info,2012-10-03,fisher.richard@itelo.info,2012-10-03,Beam Screen,21 Optimum Resolution 1600 x 1200 @ 85Hz. Max resolution 1984 x 1488 @ 75Hz. Dot Pitch: 0.25mm,02BD2137-0890-1EEA-A6C2-BB55C19D47FB,1,EA,21,KG,EUR,345,0.41,0.19,0.43,M
