"CLIENT","PURCHASEORDERID","HISTORY_CREATEDBY_EMPLOYEEID","HISTORY_CREATEDAT","HISTORY_CHANGEDBY_EMPLOYEEID","HISTORY_CHANGEDAT","NOTEID","PARTNER_PARTNERID","CURRENCY","GROSSAMOUNT","NETAMOUNT","TAXAMOUNT","LIFECYCLESTATUS","APPROVALSTATUS","CONFIRMSTATUS","ORDERINGSTATUS","INVOICINGSTATUS"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BBC7FB","02BD2137-0890-1EEA-A6C2-BB55C199E7FB","20150101","02BD2137-0890-1EEA-A6C2-BB55C19987FB","20150101","","02BD2137-0890-1EEA-A6C2-BB55C19BA7FB","EUR","13224.47 ","11113.00 ","2111.47 ","N","I","I","I","I"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BBE7FB","02BD2137-0890-1EEA-A6C2-BB55C199A7FB","20150102","02BD2137-0890-1EEA-A6C2-BB55C19787FB","20150102","","02BD2137-0890-1EEA-A6C2-BB55C19BE7FB","EUR","12493.73 ","10498.94 ","1994.79 ","N","I","I","I","I"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BC07FB","02BD2137-0890-1EEA-A6C2-BB55C19AA7FB","20150103","02BD2137-0890-1EEA-A6C2-BB55C199E7FB","20150103","","02BD2137-0890-1EEA-A6C2-BB55C19C47FB","EUR","11666.69 ","9803.94 ","1862.75 ","C","A","S","I","D"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BC27FB","02BD2137-0890-1EEA-A6C2-BB55C19947FB","20150104","02BD2137-0890-1EEA-A6C2-BB55C19927FB","20150104","","02BD2137-0890-1EEA-A6C2-BB55C19C67FB","EUR","16561.23 ","13917.00 ","2644.23 ","P","I","C","I","I"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BC47FB","02BD2137-0890-1EEA-A6C2-BB55C198C7FB","20150105","02BD2137-0890-1EEA-A6C2-BB55C19A87FB","20150105","","02BD2137-0890-1EEA-A6C2-BB55C19C67FB","EUR","12515.23 ","10517.00 ","1998.23 ","X","R","X","I","I"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BC67FB","02BD2137-0890-1EEA-A6C2-BB55C19947FB","20150106","02BD2137-0890-1EEA-A6C2-BB55C19A27FB","20150106","","02BD2137-0890-1EEA-A6C2-BB55C19CA7FB","EUR","8368.08 ","7032.00 ","1336.08 ","C","A","S","I","D"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BC87FB","02BD2137-0890-1EEA-A6C2-BB55C19827FB","20150107","02BD2137-0890-1EEA-A6C2-BB55C19987FB","20150107","","02BD2137-0890-1EEA-A6C2-BB55C19C07FB","EUR","6146.19 ","5164.87 ","981.32 ","P","I","S","I","I"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BCA7FB","02BD2137-0890-1EEA-A6C2-BB55C19B87FB","20150108","02BD2137-0890-1EEA-A6C2-BB55C19A47FB","20150108","","02BD2137-0890-1EEA-A6C2-BB55C19C27FB","EUR","5720.31 ","4806.98 ","913.33 ","R","R","X","I","I"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BCC7FB","02BD2137-0890-1EEA-A6C2-BB55C19827FB","20150109","02BD2137-0890-1EEA-A6C2-BB55C198E7FB","20150109","","02BD2137-0890-1EEA-A6C2-BB55C19CC7FB","EUR","4444.17 ","3734.60 ","709.57 ","C","A","S","I","D"
"100","02BD2137-0890-1EEA-A6C2-BB55C1BCE7FB","02BD2137-0890-1EEA-A6C2-BB55C19967FB","20150110","02BD2137-0890-1EEA-A6C2-BB55C19AE7FB","20150110","","02BD2137-0890-1EEA-A6C2-BB55C19BA7FB","EUR","3453.38 ","2902.00 ","551.38 ","P","I","C","I","I"
