"CLIENT","PRODUCTID","TYPECODE","CATEGORY","HISTORY_CREATEDBY_EMPLOYEEID","HISTORY_CREATEDAT","HISTORY_CHANGEDBY_EMPLOYEEID","HISTORY_CHANGEDAT","NAMEID","DESCID","SUPPLIER_PARTNERID","TAXTARIFFCODE","QUANTITYUNIT","WEIGHTMEASURE","WEIGHTUNIT","CURRENCY","PRICE","PRODUCTPICURL","WIDTH","DEPTH","HEIGHT","DIMENSIONUNIT"
"100","HT-1000","PR","Notebooks","02BD2137-0890-1EEA-A6C2-BB55C19B87FB","20121003","02BD2137-0890-1EEA-A6C2-BB55C19B87FB","20121003","02BD2137-0890-1EEA-A6C2-BB55C1A147FB","02BD2137-0890-1EEA-A6C2-BB55C1A167FB","02BD2137-0890-1EEA-A6C2-BB55C19BA7FB","1","EA","4.200 ","KG","EUR","956.00 ","/sap/hana/democontent/epmNext/data/images/HT-1000.jpg","0.300 ","0.180 ","0.030 ","M"
"100","HT-1001","PR","Notebooks","02BD2137-0890-1EEA-A6C2-BB55C19B87FB","20121003","02BD2137-0890-1EEA-A6C2-BB55C19B87FB","20121003","02BD2137-0890-1EEA-A6C2-BB55C1A187FB","02BD2137-0890-1EEA-A6C2-BB55C1A1A7FB","02BD2137-0890-1EEA-A6C2-BB55C19BC7FB","1","EA","4.500 ","KG","EUR","1249.00 ","/sap/hana/democontent/epmNext/data/images/HT-1001.jpg","0.290 ","0.170 ","0.030 ","M"
"100","HT-1002","PR","Notebooks","02BD2137-0890-1EEA-A6C2-BB55C19B87FB","20121003","02BD2137-0890-1EEA-A6C2-BB55C19B87FB","20121003","02BD2137-0890-1EEA-A6C2-BB55C1A1C7FB","02BD2137-0890-1EEA-A6C2-BB55C1A1E7FB","02BD2137-0890-1EEA-A6C2-BB55C19BE7FB","1","EA","4.200 ","KG","USD","1570.00 ","/sap/hana/democontent/epmNext/data/images/HT-1002.jpg","0.280 ","0.190 ","0.030 ","M"
"100","HT-1003","PR","Notebooks","02BD2137-0890-1EEA-A6C2-BB55C19B87FB","20121003","02BD2137-0890-1EEA-A6C2-BB55C19B87FB","20121003","02BD2137-0890-1EEA-A6C2-BB55C1A207FB","02BD2137-0890-1EEA-A6C2-BB55C1A227FB","02BD2137-0890-1EEA-A6C2-BB55C19C07FB","1","EA","4.200 ","KG","EUR","1650.00 ","/sap/hana/democontent/epmNext/data/images/HT-1003.jpg","0.320 ","0.210 ","0.040 ","M"
"100","HT-1007","PR","Handhelds","02BD2137-0890-1EEA-A6C2-BB55C19B87FB","20121003","02BD2137-0890-1EEA-A6C2-BB55C19B87FB","20121003","02BD2137-0890-1EEA-A6C2-BB55C1A247FB","02BD2137-0890-1EEA-A6C2-BB55C1A267FB","02BD2137-0890-1EEA-A6C2-BB55C19C27FB","1","EA","0.200 ","KG","USD","499.00 ","/sap/hana/democontent/epmNext/data/images/HT-1007.jpg","0.320 ","0.220 ","0.030 ","M"
"100","HT-1010","PR","Notebooks","02BD2137-0890-1EEA-A6C2-BB55C19B87FB","20121003","02BD2137-0890-1EEA-A6C2-BB55C19B87FB","20121003","02BD2137-0890-1EEA-A6C2-BB55C1A287FB","02BD2137-0890-1EEA-A6C2-BB55C1A2A7FB","02BD2137-0890-1EEA-A6C2-BB55C19C47FB","1","EA","4.300 ","KG","EUR","1999.00 ","/sap/hana/democontent/epmNext/data/images/HT-1010.jpg","0.330 ","0.200 ","0.030 ","M"
"100","HT-1011","PR","Notebooks","02BD2137-0890-1EEA-A6C2-BB55C19B87FB","20121003","02BD2137-0890-1EEA-A6C2-BB55C19B87FB","20121003","02BD2137-0890-1EEA-A6C2-BB55C1A2C7FB","02BD2137-0890-1EEA-A6C2-BB55C1A2E7FB","02BD2137-0890-1EEA-A6C2-BB55C19C67FB","1","EA","4.100 ","KG","JPY","2299.00 ","/sap/hana/democontent/epmNext/data/images/HT-1011.jpg","0.330 ","0.230 ","0.020 ","M"
"100","HT-1020","PR","Handhelds","02BD2137-0890-1EEA-A6C2-BB55C19B87FB","20121003","02BD2137-0890-1EEA-A6C2-BB55C19B87FB","20121003","02BD2137-0890-1EEA-A6C2-BB55C1A307FB","02BD2137-0890-1EEA-A6C2-BB55C1A327FB","02BD2137-0890-1EEA-A6C2-BB55C19C87FB","1","EA","0.160 ","KG","EUR","129.00 ","/sap/hana/democontent/epmNext/data/images/HT-1020.jpg","0.100 ","0.020 ","0.170 ","M"
"100","HT-1021","PR","Handhelds","02BD2137-0890-1EEA-A6C2-BB55C19B87FB","20121003","02BD2137-0890-1EEA-A6C2-BB55C19B87FB","20121003","02BD2137-0890-1EEA-A6C2-BB55C1A347FB","02BD2137-0890-1EEA-A6C2-BB55C1A367FB","02BD2137-0890-1EEA-A6C2-BB55C19CA7FB","1","EA","0.180 ","KG","MXN","149.00 ","/sap/hana/democontent/epmNext/data/images/HT-1021.jpg","0.110 ","0.020 ","0.180 ","M"
"100","HT-1022","PR","Handhelds","02BD2137-0890-1EEA-A6C2-BB55C19B87FB","20121003","02BD2137-0890-1EEA-A6C2-BB55C19B87FB","20121003","02BD2137-0890-1EEA-A6C2-BB55C1A387FB","02BD2137-0890-1EEA-A6C2-BB55C1A3A7FB","02BD2137-0890-1EEA-A6C2-BB55C19CC7FB","1","EA","0.200 ","KG","ARS","205.00 ","/sap/hana/democontent/epmNext/data/images/HT-1022.jpg","0.840 ","0.020 ","0.140 ","M"
